ticker,exit_type,acquirer_or_note,exit_year,exit_date,source_url,verified,ticker_recycled,notes
ACE,renamed,Renamed Chubb Limited after acquiring Chubb Corp,2016,2016-01-14,https://news.chubb.com/2016-01-14-ACE-Completes-Acquisition-of-Chubb-Adopts-Chubb-Name-and-Launches-New-Chubb-Brand,True,False,ACE Limited alive as Chubb Ltd; trades NYSE: CB since 2016-01-15
ADS,renamed,Bread Financial Holdings (rebrand of Alliance Data Systems),2022,2022-04-04,https://www.businesswire.com/news/home/20220321005864/en/Alliance-Data-is-now-Bread-FinancialTM,True,False,alive under new ticker BFH on NYSE from 2022-04-04; rebrand announced 2022-03-23
AGN,acquisition,AbbVie,2020,2020-05-08,https://news.abbvie.com/2020-05-08-AbbVie-Completes-Transformative-Acquisition-of-Allergan,True,False,AGN ceased NYSE trading at close of completion day
AKS,acquisition,Cleveland-Cliffs,2020,2020-03-13,https://www.sec.gov/Archives/edgar/data/764065/000076406520000089/ex991-202003138xk.htm,True,False,8-K press-release exhibit confirms completion 2020-03-13
ALTR,acquisition,Intel,2015,2015-12-28,https://www.sec.gov/Archives/edgar/data/0000050863/000119312515414642/d105836dex991.htm,True,True,Altera; $54/sh cash ~$16.7B; ALTR reused by Altair Engineering 2017-2025 until Siemens buyout (delisted 2025-03-26)
ALXN,acquisition,AstraZeneca,2021,2021-07-21,https://www.sec.gov/Archives/edgar/data/901832/000165495421008091/a0164g.htm,True,False,AZN 6-K Acquisition of Alexion completed filed 2021-07-21
APOL,take-private,Vistria Group + Apollo Global Management funds + Najafi Companies consortium,2017,2017-02-01,https://www.sec.gov/Archives/edgar/data/929887/000119312517026959/d329920dex991.htm,True,False,$10.00/share cash; delisted on close
ARG,acquisition,Air Liquide,2016,2016-05-23,https://www.airliquide.com/group/press-releases-news/2016-05-23/air-liquide-completes-acquisition-airgas,True,False,Airgas Inc; $143/sh cash (~$13.4B incl debt)
AVP,acquisition,Natura &Co,2020,2020-01-03,https://www.sec.gov/Archives/edgar/data/8868/000095015720000022/form8-k.htm,True,False,8-K Item 2.01 merger consummated 2020-01-03; NYSE delisting same filing
AYE,merger,FirstEnergy Corp,2011,2011-02-25,https://www.prnewswire.com/news-releases/firstenergy-allegheny-energy-merger-closes-effective-today-116932118.html,True,False,Allegheny Energy; all-stock 0.667 FE per share; holders became FirstEnergy (FE)
BCR,acquisition,Becton Dickinson (BDX),2017,2017-12-29,https://www.sec.gov/Archives/edgar/data/0000010795/000119312517383523/d517273dex991.htm,True,False,C.R. Bard; $24B cash+stock; BCR delisted NYSE at close
BHI,merger,GE Oil & Gas (formed Baker Hughes a GE Company),2017,2017-07-03,https://investors.bakerhughes.com/news/press-releases/news-details/2017/Baker-Hughes-and-GE-Oil-Gas-Complete-Combination-Creating-the-Worlds-First-and-Only-Fullstream-Oil-and-Gas-Company-07-03-2017/default.aspx,True,False,BHI retired; BHGE began NYSE trading 2017-07-05
BIG,bankruptcy,Chapter 11 petition (Delaware); assets later sold to Gordon Brothers/Variety Wholesalers,2024,2024-09-09,https://www.prnewswire.com/news-releases/big-lots-inc-enters-into-sale-agreement-with-nexus-capital-management-lp-302241535.html,True,False,petition date; original Nexus sale agreement later collapsed; NYSE delisted
BJS,acquisition,Baker Hughes,2010,2010-04-28,https://www.prnewswire.com/news-releases/baker-hughes-completes-bj-services-acquisition-92366199.html,True,False,BJ Services Co (pressure pumping); cash+stock; unrelated to BJ's Wholesale (BJ)
BMC,take-private,Bain Capital / Golden Gate Capital-led investor group,2013,2013-09-10,https://www.globenewswire.com/news-release/2013/09/10/572592/10047981/en/BMC-Software-Completes-Privatization-Transaction.html,True,True,BMC Software; $46.25/sh; ticker later reused by BMC Stock Holdings 2015-2021 (into BLDR); unused now; KKR bought company 2018
BRCM,acquisition,Avago Technologies (combined co renamed Broadcom Limited),2016,2016-02-01,https://www.sec.gov/Archives/edgar/data/1649338/000119312516446865/d47106dex991.htm,True,False,last BRCM trading day 2016-01-29; AVGO survives
CA,acquisition,Broadcom,2018,2018-11-05,https://www.prnewswire.com/news-releases/broadcom-inc-completes-acquisition-of-ca-technologies-300743810.html,True,True,CA symbol now Xtrackers California Municipal Bond ETF (since 2023)
CCE,merger,Coca-Cola European Partners (3-way bottler combination),2016,2016-05-28,https://ir.cocacolaep.com/news-releases/news-release-details/coca-cola-european-partners-plc-combination-completed-creates,True,False,Coca-Cola Enterprises; holders got 1 CCEP share + $14.50 cash; successor CCEP now Coca-Cola Europacific Partners
CELG,acquisition,Bristol Myers Squibb,2019,2019-11-20,https://www.businesswire.com/news/home/20191120005929/en/Bristol-Myers-Squibb-Completes-Acquisition-of-Celgene-Creating-a-Leading-Biopharma-Company,True,False,holders received BMY stock + $50 cash + tradeable CVR
