vintage,ticker
2010-01-01,A
2010-01-01,AA
2010-01-01,AAPL
2010-01-01,ABT
2010-01-01,ACE
2010-01-01,ADBE
2010-01-01,ADI
2010-01-01,ADM
2010-01-01,ADP
2010-01-01,ADSK
2010-01-01,AEE
2010-01-01,AEP
2010-01-01,AES
2010-01-01,AET
2010-01-01,AFL
2010-01-01,AGN
2010-01-01,AIG
2010-01-01,AIV
2010-01-01,AIZ
2010-01-01,AKAM
2010-01-01,AKS
2010-01-01,ALL
2010-01-01,ALTR
2010-01-01,AMAT
2010-01-01,AMD
2010-01-01,AMGN
2010-01-01,AMP
2010-01-01,AMT
2010-01-01,AMZN
2010-01-01,AN
2010-01-01,ANDV
2010-01-01,ANF
2010-01-01,AON
2010-01-01,APA
2010-01-01,APC
2010-01-01,APD
2010-01-01,APH
2010-01-01,APOL
2010-01-01,APTV
2010-01-01,ARG
2010-01-01,ATI
2010-01-01,AVB
2010-01-01,AVP
2010-01-01,AVY
2010-01-01,AXP
2010-01-01,AYE
2010-01-01,AZO
2010-01-01,BA
2010-01-01,BAC
2010-01-01,BALL
2010-01-01,BAX
2010-01-01,BBBY
2010-01-01,BBWI
2010-01-01,BBY
2010-01-01,BCR
2010-01-01,BDX
2010-01-01,BEAM
2010-01-01,BEN
2010-01-01,BF.B
2010-01-01,BHI
2010-01-01,BIG
2010-01-01,BIIB
2010-01-01,BJS
2010-01-01,BKNG
2010-01-01,BMC
2010-01-01,BMS
2010-01-01,BMY
2010-01-01,BNY
2010-01-01,BRCM
2010-01-01,BRK.B
2010-01-01,BSX
2010-01-01,BTU
2010-01-01,BXP
2010-01-01,C
2010-01-01,CA
2010-01-01,CAG
2010-01-01,CAH
2010-01-01,CAM
2010-01-01,CAT
2010-01-01,CBRE
2010-01-01,CCE
2010-01-01,CCL
2010-01-01,CEG
2010-01-01,CELG
2010-01-01,CEPH
2010-01-01,CF
2010-01-01,CFN
2010-01-01,CHK
2010-01-01,CHRW
2010-01-01,CI
2010-01-01,CINF
2010-01-01,CL
2010-01-01,CLF
2010-01-01,CLX
2010-01-01,CMA
2010-01-01,CMCSA
2010-01-01,CME
2010-01-01,CMI
2010-01-01,CMS
2010-01-01,CNP
2010-01-01,CNX
2010-01-01,COF
2010-01-01,COL
2010-01-01,COP
2010-01-01,COR
2010-01-01,COST
2010-01-01,CPB
2010-01-01,CPRI
2010-01-01,CPWR
2010-01-01,CRM
2010-01-01,CSC
2010-01-01,CSCO
2010-01-01,CSX
2010-01-01,CTAS
2010-01-01,CTRA
2010-01-01,CTSH
2010-01-01,CTXS
2010-01-01,CVH
2010-01-01,CVS
2010-01-01,CVX
2010-01-01,D
2010-01-01,DD
2010-01-01,DE
2010-01-01,DELL
2010-01-01,DF
2010-01-01,DFS
2010-01-01,DGX
2010-01-01,DHI
2010-01-01,DHR
2010-01-01,DIS
2010-01-01,DISCA
2010-01-01,DNB
2010-01-01,DNR
2010-01-01,DO
2010-01-01,DOC
2010-01-01,DOV
2010-01-01,DOW
2010-01-01,DPS
2010-01-01,DRI
2010-01-01,DTE
2010-01-01,DTV
2010-01-01,DUK
2010-01-01,DV
2010-01-01,DVA
2010-01-01,DVN
2010-01-01,EA
2010-01-01,EBAY
2010-01-01,ECHO
2010-01-01,ECL
2010-01-01,ED
2010-01-01,EFX
2010-01-01,EIX
2010-01-01,EK
2010-01-01,EL
2010-01-01,ELV
2010-01-01,EMC
2010-01-01,EMN
2010-01-01,EMR
2010-01-01,EOG
2010-01-01,EP
2010-01-01,EQR
2010-01-01,EQT
2010-01-01,ES
2010-01-01,ESRX
2010-01-01,ETFC
2010-01-01,ETN
2010-01-01,ETR
2010-01-01,EXC
2010-01-01,EXPD
2010-01-01,EXPE
2010-01-01,F
2010-01-01,FAST
2010-01-01,FCX
2010-01-01,FDO
2010-01-01,FDX
2010-01-01,FE
2010-01-01,FHN
2010-01-01,FII
2010-01-01,FIS
2010-01-01,FISV
2010-01-01,FITB
2010-01-01,FLIR
2010-01-01,FLR
2010-01-01,FLS
2010-01-01,FMC
2010-01-01,FOXA
2010-01-01,FRX
2010-01-01,FSLR
2010-01-01,FTI
2010-01-01,FTR
2010-01-01,GAS
2010-01-01,GD
2010-01-01,GE
2010-01-01,GEN
2010-01-01,GENZ
2010-01-01,GHC
2010-01-01,GILD
2010-01-01,GIS
2010-01-01,GL
2010-01-01,GLW
2010-01-01,GME
2010-01-01,GNW
2010-01-01,GOOG
2010-01-01,GPC
2010-01-01,GPS
2010-01-01,GR
2010-01-01,GS
2010-01-01,GT
2010-01-01,GWW
2010-01-01,HAL
2010-01-01,HAR
2010-01-01,HAS
2010-01-01,HBAN
2010-01-01,HCBK
2010-01-01,HD
2010-01-01,HES
2010-01-01,HIG
2010-01-01,HNZ
2010-01-01,HOG
2010-01-01,HON
2010-01-01,HOT
2010-01-01,HPQ
2010-01-01,HRB
2010-01-01,HRL
2010-01-01,HSP
2010-01-01,HST
2010-01-01,HSY
2010-01-01,HUM
2010-01-01,IBM
2010-01-01,ICE
2010-01-01,IFF
2010-01-01,IGT
2010-01-01,INTC
2010-01-01,INTU
2010-01-01,IP
2010-01-01,IPG
2010-01-01,IRM
2010-01-01,ISRG
2010-01-01,ITT
2010-01-01,ITW
2010-01-01,IVZ
2010-01-01,J
2010-01-01,JBL
2010-01-01,JCI
2010-01-01,JCP
2010-01-01,JDSU
2010-01-01,JEF
2010-01-01,JNJ
2010-01-01,JNPR
2010-01-01,JNS
2010-01-01,JOY
2010-01-01,JPM
2010-01-01,JWN
2010-01-01,K
2010-01-01,KEY
2010-01-01,KFT
2010-01-01,KG
2010-01-01,KIM
2010-01-01,KLAC
2010-01-01,KMB
2010-01-01,KO
2010-01-01,KR
2010-01-01,KSS
2010-01-01,L
2010-01-01,LEG
2010-01-01,LEN
2010-01-01,LH
2010-01-01,LHX
2010-01-01,LIFE
2010-01-01,LIN
2010-01-01,LLL
2010-01-01,LLTC
2010-01-01,LLY
2010-01-01,LM
2010-01-01,LMT
2010-01-01,LNC
2010-01-01,LO
2010-01-01,LOW
2010-01-01,LSI
2010-01-01,LUMN
2010-01-01,LUV
2010-01-01,LXK
2010-01-01,M
2010-01-01,MA
2010-01-01,MAR
2010-01-01,MAS
2010-01-01,MAT
2010-01-01,MCD
2010-01-01,MCHP
2010-01-01,MCK
2010-01-01,MCO
2010-01-01,MDP
2010-01-01,MDT
2010-01-01,MEE
2010-01-01,MET
2010-01-01,META
2010-01-01,MFE
2010-01-01,MHS
2010-01-01,MI
2010-01-01,MIL
2010-01-01,MJN
2010-01-01,MKC
2010-01-01,MMM
2010-01-01,MO
2010-01-01,MOLX
2010-01-01,MON
2010-01-01,MRK
2010-01-01,MRO
2010-01-01,MRSH
2010-01-01,MS
2010-01-01,MSFT
2010-01-01,MSI
2010-01-01,MTB
2010-01-01,MU
2010-01-01,MUR
2010-01-01,MWW
2010-01-01,NBL
2010-01-01,NBR
2010-01-01,NDAQ
2010-01-01,NE
2010-01-01,NEE
2010-01-01,NEM
2010-01-01,NI
2010-01-01,NKE
2010-01-01,NOC
2010-01-01,NOV
2010-01-01,NOVL
2010-01-01,NRG
2010-01-01,NSC
2010-01-01,NSM
2010-01-01,NTAP
2010-01-01,NTRS
2010-01-01,NUE
2010-01-01,NVDA
2010-01-01,NVLS
2010-01-01,NWL
2010-01-01,NYT
2010-01-01,NYX
2010-01-01,ODP
2010-01-01,OI
2010-01-01,OKE
2010-01-01,OMC
2010-01-01,ORCL
2010-01-01,ORLY
2010-01-01,OXY
2010-01-01,PAYX
2010-01-01,PBCT
2010-01-01,PBI
2010-01-01,PCAR
2010-01-01,PCG
2010-01-01,PCL
2010-01-01,PCP
2010-01-01,PCS
2010-01-01,PDCO
2010-01-01,PEG
2010-01-01,PEP
2010-01-01,PFE
