vintage,ticker,visible_today
2010-01-01,A,1
2010-01-01,AA,1
2010-01-01,AAPL,1
2010-01-01,ABT,1
2010-01-01,ACE,0
2010-01-01,ADBE,1
2010-01-01,ADI,1
2010-01-01,ADM,1
2010-01-01,ADP,1
2010-01-01,ADSK,1
2010-01-01,AEE,1
2010-01-01,AEP,1
2010-01-01,AES,1
2010-01-01,AET,0
2010-01-01,AFL,1
2010-01-01,AGN,0
2010-01-01,AIG,1
2010-01-01,AIV,1
2010-01-01,AIZ,1
2010-01-01,AKAM,1
2010-01-01,AKS,0
2010-01-01,ALL,1
2010-01-01,ALTR,0
2010-01-01,AMAT,1
2010-01-01,AMD,1
2010-01-01,AMGN,1
2010-01-01,AMP,1
2010-01-01,AMT,1
2010-01-01,AMZN,1
2010-01-01,AN,1
2010-01-01,ANDV,0
2010-01-01,ANF,1
2010-01-01,AON,1
2010-01-01,APA,1
2010-01-01,APC,1
2010-01-01,APD,1
2010-01-01,APH,1
2010-01-01,APOL,0
2010-01-01,APTV,1
2010-01-01,ARG,0
2010-01-01,ATI,1
2010-01-01,AVB,1
2010-01-01,AVP,0
2010-01-01,AVY,1
2010-01-01,AXP,1
2010-01-01,AYE,0
2010-01-01,AZO,1
2010-01-01,BA,1
2010-01-01,BAC,1
2010-01-01,BALL,1
2010-01-01,BAX,1
2010-01-01,BBBY,1
2010-01-01,BBWI,1
2010-01-01,BBY,1
2010-01-01,BCR,0
2010-01-01,BDX,1
2010-01-01,BEAM,1
2010-01-01,BEN,1
2010-01-01,BF.B,1
2010-01-01,BHI,0
2010-01-01,BIG,0
2010-01-01,BIIB,1
2010-01-01,BJS,0
2010-01-01,BKNG,1
2010-01-01,BMC,0
2010-01-01,BMS,0
2010-01-01,BMY,1
2010-01-01,BNY,1
2010-01-01,BRCM,0
2010-01-01,BRK.B,1
2010-01-01,BSX,1
2010-01-01,BTU,1
2010-01-01,BXP,1
2010-01-01,C,1
2010-01-01,CA,0
2010-01-01,CAG,1
2010-01-01,CAH,1
2010-01-01,CAM,1
2010-01-01,CAT,1
2010-01-01,CBRE,1
2010-01-01,CCE,0
2010-01-01,CCL,1
2010-01-01,CEG,1
2010-01-01,CELG,0
2010-01-01,CEPH,0
2010-01-01,CF,1
2010-01-01,CFN,0
2010-01-01,CHK,0
2010-01-01,CHRW,1
2010-01-01,CI,1
