ticker,exit_type,acquirer_or_note,exit_year,exit_date,source_url,verified,ticker_recycled,notes
ACE,,,,,,False,False,
ADS,,,,,,False,False,
AGN,acquisition,AbbVie,2020,,,False,False,
AKS,acquisition,Cleveland-Cliffs,2020,,,False,False,
ALTR,,,,,,False,False,
ALXN,acquisition,AstraZeneca,2021,,,False,False,
APOL,take-private,Apollo Global consortium,2017,,,False,False,
ARG,,,,,,False,False,
AVP,acquisition,Natura,2020,,,False,False,
AYE,,,,,,False,False,
BCR,,,,,,False,False,
BHI,merger,GE (Baker Hughes GE),2017,,,False,False,
BIG,bankruptcy,,2024,,,False,False,
BJS,,,,,,False,False,
BMC,,,,,,False,False,
BRCM,acquisition,Avago (became AVGO),2016,,,False,False,
CA,acquisition,Broadcom,2018,,,False,False,
CCE,,,,,,False,False,
CELG,acquisition,Bristol Myers Squibb,2019,,,False,False,
CEPH,,,,,,False,False,
CERN,acquisition,Oracle,2022,,,False,False,
CFN,,,,,,False,False,
CHK,bankruptcy-emerged,,2020,,,False,False,
CMA,,,,,,False,False,
COV,,,,,,False,False,
CSC,,,,,,False,False,
CTRA,,,,,,False,False,
CTXS,,,,,,False,False,
CVC,,,,,,False,False,
CVH,,,,,,False,False,
DF,,,,,,False,False,
DFS,,,,,,False,False,
DISCA,,,,,,False,False,
DISCK,,,,,,False,False,
DNB,,,,,,False,False,
DNR,,,,,,False,False,
DO,,,,,,False,False,
DPS,,,,,,False,False,
DTV,,,,,,False,False,
EK,,,,,,False,False,
ESV,,,,,,False,False,
ETFC,,,,,,False,False,
FDO,,,,,,False,False,
FII,,,,,,False,False,
FLIR,,,,,,False,False,
FRX,,,,,,False,False,
FTR,,,,,,False,False,
GAS,,,,,,False,False,
GGP,,,,,,False,False,
GMCR,,,,,,False,False,
GPS,,,,,,False,False,
GR,,,,,,False,False,
HAR,,,,,,False,False,
HCBK,,,,,,False,False,
HES,,,,,,False,False,
HNZ,,,,,,False,False,
HSP,,,,,,False,False,
IGT,,,,,,False,False,
IPG,,,,,,False,False,
JCP,,,,,,False,False,
JDSU,,,,,,False,False,
JNPR,,,,,,False,False,
JNS,,,,,,False,False,
JOY,,,,,,False,False,
JWN,,,,,,False,False,
K,,,,,,False,False,
KFT,,,,,,False,False,
KRFT,,,,,,False,False,
KSU,,,,,,False,False,
LLL,,,,,,False,False,
LLTC,,,,,,False,False,
LM,,,,,,False,False,
LO,,,,,,False,False,
LSI,,,,,,False,False,
LVLT,,,,,,False,False,
LXK,,,,,,False,False,
MDP,,,,,,False,False,
MEE,,,,,,False,False,
MFE,,,,,,False,False,
MIL,,,,,,False,False,
MJN,,,,,,False,False,
MNK,,,,,,False,False,
MOLX,,,,,,False,False,
MON,,,,,,False,False,
MRO,,,,,,False,False,
MWW,,,,,,False,False,
NBL,,,,,,False,False,
NFX,,,,,,False,False,
NLSN,,,,,,False,False,
NOVL,,,,,,False,False,
NVLS,,,,,,False,False,
NYX,,,,,,False,False,
ODP,,,,,,False,False,
PBCT,,,,,,False,False,
PCP,,,,,,False,False,
PDCO,,,,,,False,False,
PETM,,,,,,False,False,
PGN,,,,,,False,False,
PLL,,,,,,False,False,
PTV,,,,,,False,False,
PXD,,,,,,False,False,
QEP,,,,,,False,False,
RAI,,,,,,False,False,
RDC,,,,,,False,False,
RHT,,,,,,False,False,
RRD,,,,,,False,False,
RSH,,,,,,False,False,
RTN,,,,,,False,False,
RX,,,,,,False,False,
SAI,,,,,,False,False,
SEE,,,,,,False,False,
SIAL,,,,,,False,False,
SNI,,,,,,False,False,
SRCL,,,,,,False,False,
STJ,,,,,,False,False,
STR,,,,,,False,False,
SWN,,,,,,False,False,
SWY,,,,,,False,False,
TEG,,,,,,False,False,
TGNA,,,,,,False,False,
TIE,,,,,,False,False,
TIF,,,,,,False,False,
TLAB,,,,,,False,False,
TSS,,,,,,False,False,
TWC,,,,,,False,False,
TYC,,,,,,False,False,
VAR,,,,,,False,False,
VIAB,,,,,,False,False,
WBA,,,,,,False,False,
WFM,,,,,,False,False,
WFR,,,,,,False,False,
WIN,,,,,,False,False,
WYN,,,,,,False,False,
X,,,,,,False,False,
XEC,,,,,,False,False,
XL,,,,,,False,False,
XLNX,,,,,,False,False,
XTO,,,,,,False,False,
YHOO,,,,,,False,False,
